"Concrete.compressive.strength.MPa..megapascals.";"Cement..component.1..kg.in.a.m.3.mixture.";"Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.";"Fly.Ash..component.3..kg.in.a.m.3.mixture.";"Water...component.4..kg.in.a.m.3.mixture.";"Superplasticizer..component.5..kg.in.a.m.3.mixture.";"Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.";"Fine.Aggregate..component.7..kg.in.a.m.3.mixture.";"Age..day."
79.99;2.47671170242623;-0.856471824489096;-0.846732596814649;-0.916319250634602;-0.620147062966024;0.862735134857273;-1.21707879671163;-0.279597287383783
61.89;2.47671170242623;-0.856471824489096;-0.846732596814649;-0.916319250634602;-0.620147062966024;1.0556513691419;-1.21707879671163;-0.279597287383783
40.27;0.491186696336344;0.795140219747767;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-2.23982900013111;3.55134047939731
41.05;0.491186696336344;0.795140219747767;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-2.23982900013111;5.05522100767915
44.3;-0.790074982292262;0.678078594156242;-0.846732596814649;0.488555383791263;-1.03863825410222;0.0704924660617383;0.647569440010463;4.97606940092748
47.03;-0.145138185133427;0.464817810900394;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-1.29191417744964;0.701882636336994
43.7;0.945704468814751;0.244602871668813;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-2.23982900013111;5.05522100767915
36.45;0.945704468814751;0.244602871668813;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-2.23982900013111;-0.279597287383783
45.85;-0.145138185133427;0.464817810900394;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-1.29191417744964;-0.279597287383783
39.29;1.85474001377157;-0.856471824489096;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-2.23982900013111;-0.279597287383783
38.07;-0.790074982292262;0.678078594156242;-0.846732596814649;0.488555383791263;-1.03863825410222;0.0704924660617383;0.647569440010463;0.701882636336994
28.02;-0.790074982292262;0.678078594156242;-0.846732596814649;0.488555383791263;-1.03863825410222;0.0704924660617383;0.647569440010463;-0.279597287383783
43.01;1.40022224129316;-0.305934476410142;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-2.23982900013111;3.55134047939731
42.33;-0.872366621098879;1.34567756782672;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-1.29191417744964;0.701882636336994
47.81;0.218476032849299;0.0243879324372308;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-1.29191417744964;-0.279597287383783
52.91;0.945704468814751;-0.856471824489096;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-1.29191417744964;0.701882636336994
39.36;-1.35463389968649;1.57052861104213;-0.846732596814649;0.488555383791263;-1.03863825410222;0.952762710856766;0.41557975972263;0.701882636336994
56.14;0.582090250832025;-0.416041946025933;-0.846732596814649;2.1744049451023;-1.03863825410222;-0.526261751992041;-1.29191417744964;5.05522100767915
